Gender|Customer Type|Age|Type of Travel|Class|Flight Distance|Food and drink|On-board service|Leg room service|Departure Delay in Minutes|satisfaction|Customer ID|isPilot
Male|Loyal Customer|54.0|Business travel|Business|612|5|5|5|8|satisfied|48|False
Male|Loyal Customer|21.0|Personal Travel|Eco|1454|5|2|3|0|neutral or dissatisfied|49|False
Male|Loyal Customer|28.0|Business travel|Eco|731|2|3|3|14|neutral or dissatisfied|50|False
Male|Loyal Customer|27.0|Business travel|Business|2076|4|3|4|0|satisfied|51|False
Female|Loyal Customer|69.0|Business travel|Eco|309|1|5|5|0|satisfied|52|False
Male|Loyal Customer|35.0|Personal Travel|Eco|775|4|4|4|1|neutral or dissatisfied|53|False
Female|Loyal Customer|60.0|Personal Travel|Eco|861|1|4|2|10|neutral or dissatisfied|54|False
Female|Loyal Customer|45.0|Business travel|Business|3334|4|4|4|51|satisfied|55|False
Female|Loyal Customer|57.0|Business travel|Business|2496|3|5|5|0|satisfied|56|False
Male|Loyal Customer|40.0|Business travel|Business|602|2|5|5|0|satisfied|57|False
Female|disloyal Customer|38.0|Business travel|Business|308|4|1|1|39|neutral or dissatisfied|58|False
Male|disloyal Customer|23.0|Business travel|Eco|446|4|4|2|4|neutral or dissatisfied|59|False
Male|disloyal Customer|39.0|Business travel|Business|216|3|2|1|0|neutral or dissatisfied|60|False
Female|Loyal Customer|52.0|Business travel|Business|3475|4|4|4|0|satisfied|61|False
Male|disloyal Customer|25.0|Business travel|Eco|646|4|4|4|13|neutral or dissatisfied|62|False
Female|Loyal Customer|48.0|Business travel|Business|2501|5|5|5|0|satisfied|63|False
Female|Loyal Customer|59.0|Business travel|Business|2227|2|4|4|30|satisfied|64|False
Male|Loyal Customer|25.0|Business travel|Business|1426|4|5|4|4|satisfied|65|False
Male|Loyal Customer|38.0|Personal Travel|Eco|190|4|3|2|0|neutral or dissatisfied|66|False
Male|Loyal Customer|46.0|Business travel|Business|1532|2|5|5|0|satisfied|67|False
Male|Loyal Customer|50.0|Business travel|Eco|308|2|3|2|18|neutral or dissatisfied|68|False
Female|Loyal Customer|38.0|Business travel|Eco Plus|157|4|3|3|0|satisfied|69|False
Female|Loyal Customer|53.0|Business travel|Business|1506|3|5|5|0|satisfied|70|False
Male|Loyal Customer|30.0|Business travel|Eco Plus|205|3|2|5|64|neutral or dissatisfied|71|False
Male|disloyal Customer|39.0|Business travel|Business|895|5|5|4|0|neutral or dissatisfied|72|False
Male|Loyal Customer|66.0|Personal Travel|Eco Plus|516|2|4|4|0|neutral or dissatisfied|73|False
Male|Loyal Customer|45.0|Personal Travel|Eco|909|1|4|4|0|neutral or dissatisfied|74|False
Female|disloyal Customer|25.0|Business travel|Business|1435|1|4|2|1|satisfied|75|False
Male|Loyal Customer|52.0|Business travel|Business|1190|1|2|2|0|neutral or dissatisfied|76|False
Male|Loyal Customer|64.0|Personal Travel|Eco|1259|2|4|5|20|satisfied|77|False
Female|disloyal Customer|50.0|Business travel|Eco|216|4|5|2|0|neutral or dissatisfied|78|False
Female|disloyal Customer|41.0|Business travel|Business|1670|3|3|5|0|neutral or dissatisfied|79|False
Male|Loyal Customer|26.0|Business travel|Business|3960|4|4|2|45|satisfied|80|False
Female|disloyal Customer|25.0|Business travel|Eco|817|3|2|3|0|neutral or dissatisfied|81|False
Female|disloyal Customer|44.0|Business travel|Business|1670|5|3|2|0|neutral or dissatisfied|82|False
Female|disloyal Customer|21.0|Business travel|Business|861|1|3|4|0|satisfied|83|False
Male|Loyal Customer|47.0|Business travel|Business|406|3|4|4|44|satisfied|84|False
Male|Loyal Customer|31.0|Business travel|Eco Plus|404|4|1|2|17|satisfied|85|False
Female|Loyal Customer|57.0|Personal Travel|Eco Plus|500|3|5|3|0|neutral or dissatisfied|86|False
Male|Loyal Customer|44.0|Personal Travel|Eco|689|5|4|4|0|neutral or dissatisfied|87|False
Male|Loyal Customer|45.0|Business travel|Business|3100|1|4|4|0|satisfied|88|False
Male|disloyal Customer|13.0|Business travel|Eco|525|3|3|1|0|neutral or dissatisfied|89|False
Male|Loyal Customer|60.0|Personal Travel|Eco|931|4|4|5|0|satisfied|90|False
Female|disloyal Customer|41.0|Business travel|Business|304|2|3|4|31|satisfied|91|False
Male|Loyal Customer|30.0|Business travel|Business|1896|4|2|2|81|neutral or dissatisfied|92|False
Female|Loyal Customer|51.0|Business travel|Eco Plus|261|4|5|5|0|satisfied|93|False
Female|Loyal Customer|61.0|Business travel|Eco|347|5|3|2|0|satisfied|94|False
Female|Loyal Customer|32.0|Business travel|Eco|1042|4|4|3|35|satisfied|95|False
Female|Loyal Customer|39.0|Personal Travel|Eco|1773|5|2|2|14|neutral or dissatisfied|96|False
Male|Loyal Customer|19.0|Personal Travel|Business|342|3|2|1|0|neutral or dissatisfied|97|False
Female|Loyal Customer|15.0|Personal Travel|Eco Plus|297|5|5|1|67|neutral or dissatisfied|98|False
Female|disloyal Customer|42.0|Business travel|Business|883|3|5|2|22|satisfied|99|False
Female|Loyal Customer|16.0|Personal Travel|Eco|332|3|5|4|40|neutral or dissatisfied|100|False
Male|Loyal Customer|19.0|Business travel|Business|2388|4|5|5|0|satisfied|101|False
Female|Loyal Customer|29.0|Personal Travel|Eco|748|5|4|2|0|neutral or dissatisfied|102|False
Female|disloyal Customer|27.0|Business travel|Eco Plus|1080|3|4|1|0|neutral or dissatisfied|103|False
Male|disloyal Customer|22.0|Business travel|Business|231|5|3|4|0|satisfied|104|False
Female|Loyal Customer|15.0|Personal Travel|Eco|551|4|1|1|3|neutral or dissatisfied|105|False
Male|disloyal Customer|11.0|Business travel|Eco|972|1|4|3|0|neutral or dissatisfied|106|False
Female|Loyal Customer|34.0|Personal Travel|Eco|265|5|2|5|0|neutral or dissatisfied|107|False
Female|disloyal Customer|26.0|Business travel|Eco|488|1|3|2|0|neutral or dissatisfied|108|False
Female|Loyal Customer|26.0|Personal Travel|Eco|1144|4|5|4|0|neutral or dissatisfied|109|False
Male|Loyal Customer|53.0|Business travel|Business|2332|5|4|5|0|satisfied|110|False
Male|Loyal Customer|36.0|Business travel|Business|3024|1|4|4|30|neutral or dissatisfied|111|False
Male|Loyal Customer|32.0|Business travel|Business|1750|1|1|1|0|neutral or dissatisfied|112|False
Male|Loyal Customer|20.0|Personal Travel|Eco|483|5|5|2|91|neutral or dissatisfied|113|False
Female|Loyal Customer|35.0|Business travel|Business|2128|1|4|4|0|satisfied|114|False
Male|Loyal Customer|15.0|Personal Travel|Eco|235|1|3|3|1|neutral or dissatisfied|115|False
Male|Loyal Customer|52.0|Personal Travel|Eco|689|3|1|1|0|neutral or dissatisfied|116|False
Male|Loyal Customer|45.0|Business travel|Business|1852|5|2|2|0|satisfied|117|False
Female|disloyal Customer|24.0|Business travel|Eco|372|3|5|4|21|neutral or dissatisfied|118|False
Female|Loyal Customer|46.0|Business travel|Business|3705|4|4|4|4|neutral or dissatisfied|119|False
Male|disloyal Customer|26.0|Business travel|Eco|416|1|3|5|0|neutral or dissatisfied|120|False
Male|Loyal Customer|28.0|Business travel|Eco|337|4|1|3|3|neutral or dissatisfied|121|False
Male|Loyal Customer|11.0|Personal Travel|Eco|335|3|4|2|0|neutral or dissatisfied|122|False
Male|Loyal Customer|45.0|Business travel|Business|1400|2|4|4|4|satisfied|123|False
Male|Loyal Customer|62.0|Personal Travel|Eco|2521|4|3|5|7|neutral or dissatisfied|124|False
Female|Loyal Customer|34.0|Business travel|Business|374|4|4|4|0|satisfied|125|False
Male|Loyal Customer|51.0|Business travel|Business|308|4|4|4|17|satisfied|126|False
Female|Loyal Customer|58.0|Business travel|Eco Plus|575|2|2|1|14|neutral or dissatisfied|127|False
Male|Loyal Customer|22.0|Personal Travel|Eco|618|3|4|5|0|neutral or dissatisfied|128|False
Male|Loyal Customer|8.0|Business travel|Eco|1304|4|2|2|0|satisfied|129|False
Male|disloyal Customer|26.0|Business travel|Business|351|2|4|5|4|satisfied|130|False
Female|Loyal Customer|22.0|Personal Travel|Eco|549|3|3|2|15|neutral or dissatisfied|131|False
Female|Loyal Customer|21.0|Business travel|Business|3510|3|3|3|0|neutral or dissatisfied|132|False
Male|Loyal Customer|31.0|Business travel|Business|1620|3|2|2|0|neutral or dissatisfied|133|False
Female|Loyal Customer|44.0|Personal Travel|Eco|326|2|1|2|0|neutral or dissatisfied|134|False
Male|Loyal Customer|27.0|Business travel|Business|588|5|5|2|0|satisfied|135|False
Female|Loyal Customer|47.0|Business travel|Business|1020|2|5|5|0|satisfied|136|False
Male|Loyal Customer|24.0|Business travel|Business|2903|3|4|2|0|neutral or dissatisfied|137|False
Male|Loyal Customer|67.0|Business travel|Business|2659|1|1|1|0|neutral or dissatisfied|138|False
Male|Loyal Customer|32.0|Business travel|Business|3037|4|4|1|0|satisfied|139|False
Female|Loyal Customer|58.0|Personal Travel|Eco|2475|4|3|3|29|satisfied|140|False
Male|Loyal Customer|12.0|Personal Travel|Eco|978|1|3|4|0|neutral or dissatisfied|141|False
Female|Loyal Customer|56.0|Business travel|Business|2568|5|3|3|0|neutral or dissatisfied|142|False
Female|Loyal Customer|58.0|Personal Travel|Business|371|2|1|5|0|neutral or dissatisfied|143|False
Male|disloyal Customer|24.0|Business travel|Eco|791|5|2|1|39|neutral or dissatisfied|144|False
Male|Loyal Customer|68.0|Personal Travel|Eco|480|5|2|4|7|neutral or dissatisfied|145|False
Male|Loyal Customer|46.0|Business travel|Business|1786|3|5|5|1|satisfied|146|False
Male|Loyal Customer|43.0|Business travel|Business|1849|2|3|4|0|satisfied|147|False
Female|Loyal Customer|55.0|Business travel|Business|3634|4|4|1|0|satisfied|148|False
Female|Loyal Customer|54.0|Personal Travel|Business|844|2|3|5|0|neutral or dissatisfied|149|False
Female|Loyal Customer|42.0|Business travel|Business|3094|4|2|2|0|satisfied|150|False
Female|Loyal Customer|47.0|Business travel|Business|3465|3|1|1|13|neutral or dissatisfied|151|False
Female|disloyal Customer|29.0|Business travel|Business|1035|5|4|4|0|neutral or dissatisfied|152|False
Female|Loyal Customer|36.0|Business travel|Eco|237|2|2|4|0|neutral or dissatisfied|153|False
Female|Loyal Customer|50.0|Business travel|Business|3175|2|5|5|0|satisfied|154|False
Female|Loyal Customer|31.0|Personal Travel|Eco|760|1|3|4|17|neutral or dissatisfied|155|False
Male|Loyal Customer|13.0|Personal Travel|Eco|853|4|5|2|105|neutral or dissatisfied|156|False
Male|disloyal Customer|24.0|Business travel|Eco|446|5|4|4|0|neutral or dissatisfied|157|False
Female|Loyal Customer|60.0|Business travel|Business|1071|4|3|4|0|satisfied|158|False
Female|Loyal Customer|42.0|Personal Travel|Eco|728|5|3|2|0|neutral or dissatisfied|159|False
Female|Loyal Customer|57.0|Business travel|Business|2585|4|3|5|0|satisfied|160|False
Female|Loyal Customer|42.0|Business travel|Business|707|2|3|4|27|satisfied|161|False
Male|disloyal Customer|20.0|Business travel|Eco|861|2|4|3|0|satisfied|162|False
Female|Loyal Customer|51.0|Personal Travel|Eco|719|3|4|2|19|neutral or dissatisfied|163|False
Male|Loyal Customer|45.0|Business travel|Business|1790|2|5|5|0|satisfied|164|False
Female|Loyal Customer|26.0|Business travel|Eco Plus|680|5|1|4|12|satisfied|165|False
Male|disloyal Customer|26.0|Business travel|Eco|888|5|4|3|51|neutral or dissatisfied|166|False
Female|Loyal Customer|24.0|Personal Travel|Eco|1660|3|1|4|0|neutral or dissatisfied|167|False
Male|Loyal Customer|49.0|Business travel|Eco|578|5|1|1|162|satisfied|168|False
Female|Loyal Customer|17.0|Business travel|Eco|606|5|5|1|15|satisfied|169|False
Female|Loyal Customer|39.0|Business travel|Business|1487|4|4|4|7|satisfied|170|False
Female|Loyal Customer|49.0|Business travel|Business|317|3|4|4|0|satisfied|171|False
Female|Loyal Customer|48.0|Personal Travel|Eco|844|4|4|4|0|neutral or dissatisfied|172|False
Male|Loyal Customer|52.0|Business travel|Business|3747|2|4|4|24|satisfied|173|False
Female|Loyal Customer|25.0|Business travel|Business|2748|3|3|2|0|satisfied|174|False
Female|Loyal Customer|16.0|Business travel|Business|1503|3|2|4|0|neutral or dissatisfied|175|False
Male|Loyal Customer|58.0|Business travel|Business|1717|2|4|4|0|satisfied|176|False
Male|disloyal Customer|8.0|Business travel|Business|1117|3|4|5|0|neutral or dissatisfied|177|False
Male|Loyal Customer|42.0|Business travel|Business|1372|4|4|5|141|satisfied|178|False
Female|Loyal Customer|52.0|Business travel|Business|2768|2|4|3|0|neutral or dissatisfied|179|False
Female|Loyal Customer|47.0|Business travel|Eco|370|2|5|5|0|satisfied|180|False
Female|Loyal Customer|69.0|Personal Travel|Eco|1546|4|1|1|1|neutral or dissatisfied|181|False
Female|Loyal Customer|47.0|Personal Travel|Eco|1023|5|4|3|0|neutral or dissatisfied|182|False
Female|Loyal Customer|41.0|Business travel|Business|3636|3|4|4|0|satisfied|183|False
Female|Loyal Customer|40.0|Personal Travel|Eco|1325|1|4|2|0|neutral or dissatisfied|184|False
Female|Loyal Customer|56.0|Personal Travel|Eco|2556|3|5|1|0|neutral or dissatisfied|185|False
Male|Loyal Customer|41.0|Business travel|Business|1052|4|4|4|6|satisfied|186|False
Female|Loyal Customer|40.0|Business travel|Eco|773|3|2|5|15|neutral or dissatisfied|187|False
Male|Loyal Customer|12.0|Personal Travel|Business|817|1|1|3|0|neutral or dissatisfied|188|False
Male|Loyal Customer|59.0|Personal Travel|Eco|516|1|5|3|3|satisfied|189|False
Female|Loyal Customer|21.0|Personal Travel|Eco|447|2|3|5|34|neutral or dissatisfied|190|False
Male|Loyal Customer|12.0|Personal Travel|Eco|462|2|3|4|0|neutral or dissatisfied|191|False
Male|Loyal Customer|31.0|Business travel|Eco|361|1|2|5|0|neutral or dissatisfied|192|False
Female|Loyal Customer|37.0|Personal Travel|Eco|125|2|3|3|6|neutral or dissatisfied|193|False
Female|Loyal Customer|38.0|Personal Travel|Eco|271|2|4|2|0|satisfied|194|False
Male|Loyal Customer|45.0|Personal Travel|Eco|173|2|5|5|0|neutral or dissatisfied|195|False
Male|Loyal Customer|43.0|Business travel|Business|1950|4|4|4|0|satisfied|196|False
Female|Loyal Customer|52.0|Personal Travel|Eco|719|3|3|2|0|neutral or dissatisfied|197|False
Female|Loyal Customer|57.0|Business travel|Business|153|5|2|2|0|neutral or dissatisfied|198|False
Female|Loyal Customer|13.0|Personal Travel|Business|337|1|4|5|0|neutral or dissatisfied|199|False
Female|Loyal Customer|45.0|Business travel|Business|3732|5|5|5|17|satisfied|200|False
Female|Loyal Customer|43.0|Business travel|Business|3854|5|5|5|0|satisfied|201|False
Male|Loyal Customer|53.0|Business travel|Eco|977|2|3|2|20|neutral or dissatisfied|202|False
Male|Loyal Customer|23.0|Business travel|Business|3073|5|1|3|0|satisfied|203|False
Female|Loyal Customer|16.0|Personal Travel|Eco|1379|2|5|2|2|neutral or dissatisfied|204|False
Male|Loyal Customer|23.0|Business travel|Eco|631|2|3|5|0|neutral or dissatisfied|205|False
Male|Loyal Customer|45.0|Personal Travel|Eco|666|4|4|5|0|neutral or dissatisfied|206|False
Female|Loyal Customer|46.0|Business travel|Business|2820|2|5|5|1|satisfied|207|False
Female|Loyal Customer|49.0|Personal Travel|Eco|577|3|1|2|23|neutral or dissatisfied|208|False
Female|Loyal Customer|40.0|Business travel|Business|2808|3|3|3|7|neutral or dissatisfied|209|False
Female|Loyal Customer|19.0|Business travel|Business|2172|4|4|4|0|satisfied|210|False
Female|Loyal Customer|48.0|Personal Travel|Eco|1192|4|1|4|0|neutral or dissatisfied|211|False
Female|Loyal Customer|64.0|Business travel|Business|1773|5|2|3|0|neutral or dissatisfied|212|False
Female|Loyal Customer|38.0|Business travel|Eco|109|5|5|2|31|satisfied|213|False
Male|Loyal Customer|23.0|Personal Travel|Eco|1749|3|1|1|97|neutral or dissatisfied|214|False
Female|Loyal Customer|38.0|Business travel|Business|3753|1|4|4|0|satisfied|215|False
Male|Loyal Customer|41.0|Personal Travel|Eco|214|2|4|3|16|neutral or dissatisfied|216|False
Male|Loyal Customer|29.0|Personal Travel|Eco|1020|1|3|3|0|neutral or dissatisfied|217|False
Male|Loyal Customer|47.0|Business travel|Eco Plus|368|4|5|5|0|satisfied|218|False
Male|Loyal Customer|50.0|Personal Travel|Eco Plus|1448|4|4|3|20|neutral or dissatisfied|219|False
Female|Loyal Customer|18.0|Personal Travel|Eco|1127|3|4|4|0|neutral or dissatisfied|220|False
Female|Loyal Customer|20.0|Personal Travel|Eco|545|5|3|4|4|neutral or dissatisfied|221|False
Female|Loyal Customer|41.0|Business travel|Business|3238|5|4|4|0|satisfied|222|False
Female|Loyal Customer|12.0|Personal Travel|Eco|2466|1|4|4|0|neutral or dissatisfied|223|False
Female|Loyal Customer|36.0|Personal Travel|Eco|2715|2|5|3|0|neutral or dissatisfied|224|False
Male|Loyal Customer|49.0|Business travel|Business|337|4|4|4|10|satisfied|225|False
Female|Loyal Customer|55.0|Personal Travel|Eco|1608|2|5|2|0|neutral or dissatisfied|226|False
Female|Loyal Customer|43.0|Business travel|Business|3004|2|2|2|0|neutral or dissatisfied|227|False
Female|disloyal Customer|49.0|Business travel|Business|980|3|3|5|11|neutral or dissatisfied|228|False
Female|disloyal Customer|35.0|Business travel|Eco|1462|3|1|5|0|neutral or dissatisfied|229|False
Male|Loyal Customer|45.0|Business travel|Business|1521|3|5|5|0|satisfied|230|False
Female|Loyal Customer|28.0|Business travel|Business|862|5|2|3|9|satisfied|231|False
Male|Loyal Customer|60.0|Business travel|Business|1833|1|4|4|0|satisfied|232|False
Male|Loyal Customer|35.0|Business travel|Business|2398|1|2|2|0|neutral or dissatisfied|233|False
Female|disloyal Customer|38.0|Business travel|Business|349|4|5|4|29|neutral or dissatisfied|234|False
Male|Loyal Customer|48.0|Business travel|Business|1722|4|4|4|0|satisfied|235|False
Female|Loyal Customer|65.0|Personal Travel|Eco|578|2|3|3|99|neutral or dissatisfied|236|False
Male|Loyal Customer|30.0|Personal Travel|Eco Plus|163|1|4|2|9|neutral or dissatisfied|237|False
Female|Loyal Customer|51.0|Personal Travel|Eco|395|2|3|5|0|neutral or dissatisfied|238|False
Male|disloyal Customer|23.0|Business travel|Eco|416|4|3|5|18|satisfied|239|False
Female|Loyal Customer|37.0|Business travel|Eco|977|3|2|2|0|neutral or dissatisfied|240|False
Male|Loyal Customer|23.0|Business travel|Business|3095|5|2|5|9|satisfied|241|False
Male|Loyal Customer|32.0|Business travel|Business|738|4|4|2|0|neutral or dissatisfied|242|False
Male|Loyal Customer|67.0|Personal Travel|Eco|719|1|2|2|24|neutral or dissatisfied|243|False
Male|Loyal Customer|65.0|Personal Travel|Business|226|5|4|1|37|neutral or dissatisfied|244|False
Female|Loyal Customer|48.0|Business travel|Business|1943|3|5|5|0|satisfied|245|False
Male|Loyal Customer|60.0|Business travel|Business|2371|2|4|4|66|satisfied|246|False
Female|Loyal Customer|31.0|Business travel|Business|551|3|3|4|53|neutral or dissatisfied|247|False
Male|Loyal Customer|22.0|Business travel|Eco Plus|493|4|2|4|19|satisfied|248|False
Male|disloyal Customer|27.0|Business travel|Eco|925|5|2|5|4|neutral or dissatisfied|249|False
Female|Loyal Customer|19.0|Personal Travel|Eco|405|1|3|2|0|neutral or dissatisfied|250|False
Female|disloyal Customer|26.0|Business travel|Eco|1055|4|3|5|0|neutral or dissatisfied|251|False
Male|Loyal Customer|72.0|Business travel|Eco|305|4|2|3|0|neutral or dissatisfied|252|False
Female|Loyal Customer|34.0|Business travel|Business|589|1|5|5|0|satisfied|253|False
Female|Loyal Customer|45.0|Business travel|Business|1587|4|4|4|0|satisfied|254|False
Male|Loyal Customer|51.0|Business travel|Business|3090|3|2|2|0|neutral or dissatisfied|255|False
Female|disloyal Customer|26.0|Business travel|Eco|804|4|1|4|7|neutral or dissatisfied|256|False
Female|Loyal Customer|12.0|Personal Travel|Eco|719|1|5|2|0|neutral or dissatisfied|257|False
Female|Loyal Customer|72.0|Business travel|Eco Plus|67|2|3|2|28|neutral or dissatisfied|258|False
Male|Loyal Customer|45.0|Business travel|Eco|550|4|4|4|0|satisfied|259|False
Female|Loyal Customer|22.0|Business travel|Business|2809|5|3|4|36|satisfied|260|False
Female|Loyal Customer|53.0|Personal Travel|Eco|552|4|5|4|0|neutral or dissatisfied|261|False
Female|disloyal Customer|33.0|Business travel|Business|356|4|4|5|12|neutral or dissatisfied|262|False
Female|Loyal Customer|46.0|Personal Travel|Business|119|5|4|4|13|neutral or dissatisfied|263|False
Male|Loyal Customer|54.0|Business travel|Business|1545|5|5|5|1|satisfied|264|False
Female|Loyal Customer|40.0|Business travel|Eco|819|4|1|2|23|neutral or dissatisfied|265|False
Female|Loyal Customer|37.0|Business travel|Business|1801|4|2|2|0|neutral or dissatisfied|266|False
Female|Loyal Customer|35.0|Business travel|Business|1658|1|5|5|6|satisfied|267|False
Female|disloyal Customer|26.0|Business travel|Business|114|4|4|2|0|satisfied|268|False
Female|Loyal Customer|62.0|Business travel|Eco|128|2|5|4|0|satisfied|269|False
Male|Loyal Customer|58.0|Business travel|Business|813|5|3|3|0|satisfied|270|False
Female|Loyal Customer|55.0|Personal Travel|Eco|349|2|2|2|0|neutral or dissatisfied|271|False
Female|Loyal Customer|60.0|Business travel|Business|1508|2|3|3|15|neutral or dissatisfied|272|False
Female|Loyal Customer|15.0|Personal Travel|Eco|89|5|5|5|0|neutral or dissatisfied|273|False
Male|Loyal Customer|67.0|Personal Travel|Eco|157|5|4|5|45|neutral or dissatisfied|274|False
Male|Loyal Customer|43.0|Business travel|Business|2828|5|3|3|39|satisfied|275|False
Male|Loyal Customer|30.0|Business travel|Business|3131|5|5|5|7|satisfied|276|False
Female|Loyal Customer|42.0|Business travel|Eco|718|3|5|5|0|satisfied|277|False
Male|Loyal Customer|40.0|Business travel|Business|1959|4|3|5|209|satisfied|278|False
Male|Loyal Customer|47.0|Business travel|Business|3496|2|5|5|0|satisfied|279|False
Male|Loyal Customer|38.0|Business travel|Business|2300|4|4|4|60|neutral or dissatisfied|280|False
Female|Loyal Customer|25.0|Personal Travel|Eco|2845|3|1|3|0|neutral or dissatisfied|281|False
Male|disloyal Customer|26.0|Business travel|Eco|406|3|5|4|149|neutral or dissatisfied|282|False
Male|Loyal Customer|66.0|Personal Travel|Eco|580|4|5|3|26|neutral or dissatisfied|283|False
Female|Loyal Customer|69.0|Business travel|Eco|735|3|1|1|12|neutral or dissatisfied|284|False
Female|Loyal Customer|22.0|Business travel|Business|1722|2|2|4|0|neutral or dissatisfied|285|False
Male|Loyal Customer|8.0|Personal Travel|Eco Plus|1201|3|4|2|24|neutral or dissatisfied|286|False
Female|disloyal Customer|37.0|Business travel|Business|372|4|4|4|11|satisfied|287|False
Female|Loyal Customer|69.0|Personal Travel|Eco|1072|4|1|1|18|neutral or dissatisfied|288|False
Male|Loyal Customer|28.0|Business travel|Eco|733|4|3|4|15|neutral or dissatisfied|289|False
Male|Loyal Customer|51.0|Business travel|Eco Plus|1075|2|1|2|5|neutral or dissatisfied|290|False
